lago,lago_id,fecha,umbral_mg_m3,pixeles_umbral,area_km2,porcentaje_area_valida,floracion_extensa_operativa
Amatitlán,amatitlan,2025-01-28,10.0,14,0.0056,0.03815441637369525,False
Amatitlán,amatitlan,2025-01-28,20.0,0,0.0,0.0,False
Amatitlán,amatitlan,2025-01-28,30.0,0,0.0,0.0,False
Amatitlán,amatitlan,2025-04-15,10.0,222,0.0888,0.6112334801762115,False
Amatitlán,amatitlan,2025-04-15,20.0,1,0.0004,0.0027533039647577094,False
Amatitlán,amatitlan,2025-04-15,30.0,0,0.0,0.0,False
Amatitlán,amatitlan,2025-04-28,10.0,2531,1.0124,6.97014760960564,False
Amatitlán,amatitlan,2025-04-28,20.0,155,0.062,0.426856135712712,False
Amatitlán,amatitlan,2025-04-28,30.0,9,0.0036000000000000003,0.02478519497686715,False
Amatitlán,amatitlan,2025-11-24,10.0,727,0.2908,1.9951698776003073,False
Amatitlán,amatitlan,2025-11-24,20.0,378,0.1512,1.037378560843076,False
Amatitlán,amatitlan,2025-11-24,30.0,267,0.1068,0.7327515231351885,False
Amatitlán,amatitlan,2026-01-08,10.0,2585,1.034,7.048013741581918,False
Amatitlán,amatitlan,2026-01-08,20.0,1160,0.464,3.162745044578346,False
Amatitlán,amatitlan,2026-01-08,30.0,751,0.3004,2.0476047659296017,False
Amatitlán,amatitlan,2026-02-02,10.0,2,0.0008,0.00555000555000555,False
Amatitlán,amatitlan,2026-02-02,20.0,0,0.0,0.0,False
Amatitlán,amatitlan,2026-02-02,30.0,0,0.0,0.0,False
Amatitlán,amatitlan,2026-02-07,10.0,9,0.0036000000000000003,0.024591507732662988,False
Amatitlán,amatitlan,2026-02-07,20.0,0,0.0,0.0,False
Amatitlán,amatitlan,2026-02-07,30.0,0,0.0,0.0,False
Amatitlán,amatitlan,2026-03-29,10.0,2770,1.108,7.540697990962052,False
Amatitlán,amatitlan,2026-03-29,20.0,1035,0.41400000000000003,2.8175532204497196,False
Amatitlán,amatitlan,2026-03-29,30.0,34,0.013600000000000001,0.09255730386018403,False
Amatitlán,amatitlan,2026-04-13,10.0,1449,0.5796,3.927361431088223,False
Amatitlán,amatitlan,2026-04-13,20.0,5,0.002,0.013551971811898631,False
Amatitlán,amatitlan,2026-04-13,30.0,0,0.0,0.0,False
Amatitlán,amatitlan,2026-04-28,10.0,12438,4.9752,35.52800708389271,False
Amatitlán,amatitlan,2026-04-28,20.0,4188,1.6752,11.962638178754034,True
Amatitlán,amatitlan,2026-04-28,30.0,742,0.2968,2.119454997286412,False
Amatitlán,amatitlan,2026-06-19,10.0,19645,7.8580000000000005,53.50528379997821,False
Amatitlán,amatitlan,2026-06-19,20.0,2523,1.0092,6.871663579910666,True
Amatitlán,amatitlan,2026-06-19,30.0,650,0.26,1.770345353524349,False
Atitlán,atitlan,2025-01-18,10.0,96,0.038400000000000004,0.03112063460160725,False
Atitlán,atitlan,2025-01-18,20.0,0,0.0,0.0,False
Atitlán,atitlan,2025-01-18,30.0,0,0.0,0.0,False
Atitlán,atitlan,2025-04-13,10.0,3,0.0012000000000000001,0.0009824630348283145,False
Atitlán,atitlan,2025-04-13,20.0,0,0.0,0.0,False
Atitlán,atitlan,2025-04-13,30.0,0,0.0,0.0,False
Atitlán,atitlan,2025-05-13,10.0,5,0.002,0.001637669007441568,False
Atitlán,atitlan,2025-05-13,20.0,0,0.0,0.0,False
Atitlán,atitlan,2025-05-13,30.0,0,0.0,0.0,False
Atitlán,atitlan,2025-07-17,10.0,162,0.0648,0.05425972320842432,False
Atitlán,atitlan,2025-07-17,20.0,5,0.002,0.0016746828150748247,False
Atitlán,atitlan,2025-07-17,30.0,3,0.0012000000000000001,0.0010048096890448949,False
Atitlán,atitlan,2025-11-21,10.0,174,0.06960000000000001,0.056921526805459234,False
Atitlán,atitlan,2025-11-21,20.0,9,0.0036000000000000003,0.00294421690373065,False
Atitlán,atitlan,2025-11-21,30.0,0,0.0,0.0,False
Atitlán,atitlan,2025-12-29,10.0,102,0.0408,0.03297619894346845,False
Atitlán,atitlan,2025-12-29,20.0,6,0.0024000000000000002,0.0019397764084393206,False
Atitlán,atitlan,2025-12-29,30.0,0,0.0,0.0,False
Atitlán,atitlan,2026-02-12,10.0,53,0.0212,0.017314093999196364,False
Atitlán,atitlan,2026-02-12,20.0,0,0.0,0.0,False
Atitlán,atitlan,2026-02-12,30.0,0,0.0,0.0,False
Atitlán,atitlan,2026-03-24,10.0,3,0.0012000000000000001,0.0009821253191907287,False
Atitlán,atitlan,2026-03-24,20.0,0,0.0,0.0,False
Atitlán,atitlan,2026-03-24,30.0,0,0.0,0.0,False
Atitlán,atitlan,2026-04-13,10.0,2,0.0008,0.0006565190702376928,False
Atitlán,atitlan,2026-04-13,20.0,0,0.0,0.0,False
Atitlán,atitlan,2026-04-13,30.0,0,0.0,0.0,False
Atitlán,atitlan,2026-04-28,10.0,0,0.0,0.0,False
Atitlán,atitlan,2026-04-28,20.0,0,0.0,0.0,False
Atitlán,atitlan,2026-04-28,30.0,0,0.0,0.0,False
Atitlán,atitlan,2026-07-22,10.0,313,0.1252,0.10293783935777312,False
Atitlán,atitlan,2026-07-22,20.0,1,0.0004,0.0003288748861270707,False
Atitlán,atitlan,2026-07-22,30.0,0,0.0,0.0,False
